time_scraping,otodom_id,price,title,surface_area,num_of_room,floor,form_of_property,finish_condition,balcony_garden_terrace,parking_space,heating,ad_link,map_link
2024-06-06 01:36:54,kawalerka-z-widna-kuchnia-28m-kamienica-z-winda-ID4qWzk,560 000 zł,Kawalerka z widną kuchnią 28m kamienica z windą,"28,17 m²",,4/5,pełna własność,do zamieszkania,,,,https://www.otodom.pl/pl/oferta/kawalerka-z-widna-kuchnia-28m-kamienica-z-winda-ID4qWzk,"https://www.google.com/maps/@52.23035,20.95499,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:36:58,segment-narozny-dwupozimowy-z-ogrodkiem-zabki-ID4qWzf,1 250 000 zł,Segment narożny dwupozimowy z ogródkiem- Ząbki,126 m²,,,,,,,,https://www.otodom.pl/pl/oferta/segment-narozny-dwupozimowy-z-ogrodkiem-zabki-ID4qWzf,"https://www.google.com/maps/@52.279178,21.112334,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:37:03,3-pok-ul-katy-grodziskie-z-duzym-ogrodkiem-ID4qWzh,865 000 zł,⭐️3-pok. ul. Kąty Grodziskie z dużym ogródkiem⭐️,"55,05 m²",,parter/3,,do zamieszkania,,,miejskie,https://www.otodom.pl/pl/oferta/3-pok-ul-katy-grodziskie-z-duzym-ogrodkiem-ID4qWzh,"https://www.google.com/maps/@52.326765,21.055797,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:37:08,kawalerka-balkon-parking-tarchomin-nowodwory-ID4lopR,400 000 zł,"Kawalerka+balkon+parking, Tarchomin, Nowodwory","27,3 m²",,8/9,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/kawalerka-balkon-parking-tarchomin-nowodwory-ID4lopR,"https://www.google.com/maps/@52.3320224,20.9357309,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:37:13,stylowe-3-pokojowe-mieszkanie-obok-galerii-mokotow-ID4qRlO,1 495 000 zł,Stylowe 3-pokojowe mieszkanie obok Galerii Mokotów,"62,3 m²",,4/6,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,kotłownia,https://www.otodom.pl/pl/oferta/stylowe-3-pokojowe-mieszkanie-obok-galerii-mokotow-ID4qRlO,"https://www.google.com/maps/@52.174082,20.9970582,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:37:18,2-pokojowe-mieszkanie-na-mokotowie-obok-galerii-ID4qOpL,998 700 zł,"2 pokojowe mieszkanie na Mokotowie, obok Galerii","49,5 m²",,3/4,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-mokotowie-obok-galerii-ID4qOpL,"https://www.google.com/maps/@52.1709861,20.9944779,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:37:23,przestronne-mieszkanie-na-zamknietym-osiedlu-ID4qK1e,550 000 zł,Przestronne mieszkanie na zamkniętym osiedlu,44 m²,,parter/3,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-na-zamknietym-osiedlu-ID4qK1e,"https://www.google.com/maps/@52.34462,20.94172,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:37:27,bezposrednio2-pokojebemowo-os-gorcemetro-ID4qap0,825 000 zł,"⭐BEZPOŚREDNIO⭐2 pokoje⭐Bemowo, os. Górce⭐Metro","50,9 m²",,1/9,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/bezposrednio2-pokojebemowo-os-gorcemetro-ID4qap0,"https://www.google.com/maps/@52.2418397,20.9203224,16z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:37:32,apartament-na-sprzedaz-77m2-wylacznosc-ID4qMOS,4 400 000 zł,Apartament Na Sprzedaż | 77M2 | Wyłączność,77 m²,,> 10/44,pełna własność,do zamieszkania,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/apartament-na-sprzedaz-77m2-wylacznosc-ID4qMOS,"https://www.google.com/maps/@52.2354,21.00009,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:37:37,zoliborz-mieszkanie-studio-na-sprzedaz-ID4q7vd,735 000 zł,Żoliborz mieszkanie Studio na Sprzedaż,32 m²,,1/3,,do zamieszkania,,,,https://www.otodom.pl/pl/oferta/zoliborz-mieszkanie-studio-na-sprzedaz-ID4q7vd,"https://www.google.com/maps/@52.26984,20.97539,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:37:41,minska-3-pok-67-m2-nowe-garaz-komorka-ID4qWyi,1 148 000 zł,"Mińska 3 pok.67 m2, nowe, garaż, komórka","67,53 m²",,2/5,pełna własność,do wykończenia,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/minska-3-pok-67-m2-nowe-garaz-komorka-ID4qWyi,"https://www.google.com/maps/@52.249702,21.0647818,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:37:46,loft-garden-wesola-etap-ii-ID4m4LM,1 077 000 zł,Loft Garden Wesoła - ETAP II,"82,87 m²",,,,,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/loft-garden-wesola-etap-ii-ID4m4LM,"https://www.google.com/maps/@52.24892,21.19751,14z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
2024-06-06 01:37:51,apartament-w-cosmopolitan-wysokie-pietro-3bd-ID4qn09,11 000 000 zł,Apartament w Cosmopolitan | Wysokie Piętro | 3bd,160 m²,,> 10/44,,,,garaż/miejsce parkingowe,miejskie,https://www.otodom.pl/pl/oferta/apartament-w-cosmopolitan-wysokie-pietro-3bd-ID4qn09,"https://www.google.com/maps/@52.2342,21.00174,15z/data=!10m1!1e1!12b1?source=apiv3&rapsrc=apiv3"
